room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13608644,1407,71942440,Entire home/apt,,Turin,,Centro - Crocetta,10,5.0,5,1.0,,127.0,,2017-06-29 01:28:59.889564,45.070093,7.68112,0101000020E6100000289B728577B91E40DA56B3CEF8884640
15077214,1407,86328774,Entire home/apt,,Turin,,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,7,4.5,4,1.0,,144.0,,2017-06-29 01:28:59.885854,45.102788,7.627911,0101000020E6100000D331E719FB821E40EB353D28288D4640
8503870,1407,44777862,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,45,5.0,6,3.0,,138.0,,2017-06-29 01:28:59.880514,45.057331,7.685868,0101000020E6100000E17D552E54BE1E400306499F56874640
4924849,1407,25367332,Entire home/apt,,Turin,,San Donato - Campidoglio - Parella,0,0.0,4,2.0,,115.0,,2017-06-29 01:28:57.966836,45.08438,7.665436,0101000020E61000000053060E68A91E40DF37BEF6CC8A4640
3538671,1407,4322099,Entire home/apt,,Turin,,"Aurora, Vanchiglia - Sassi - Madonna del Pilone",1,0.0,4,2.0,,115.0,,2017-06-29 01:28:57.963946,45.08092,7.683242,0101000020E6100000B80375CAA3BB1E40D1CB28965B8A4640
10816336,1407,36769728,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,104.0,,2017-06-29 01:28:57.960665,45.065606,7.675877,0101000020E61000007079AC1919B41E40F03504C765884640
16714409,1407,101724462,Entire home/apt,,Turin,,San Donato - Campidoglio - Parella,0,0.0,4,2.0,,114.0,,2017-06-29 01:28:57.957214,45.079297,7.66969,0101000020E61000003DD52137C3AD1E40E0D57267268A4640
16255891,1407,23942044,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,4,1.0,,114.0,,2017-06-29 01:28:57.953259,45.064816,7.686474,0101000020E61000009B374E0AF3BE1E40F72004E44B884640
13542050,1407,16008875,Entire home/apt,,Turin,,Centro - Crocetta,0,0.0,5,2.0,,104.0,,2017-06-29 01:28:53.061841,45.064931,7.695396,0101000020E6100000AD1397E315C81E4090BFB4A84F884640
1984559,1407,10239382,Entire home/apt,,Turin,,San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia,14,5.0,4,2.0,,115.0,,2017-06-29 01:28:53.056939,45.027673,7.669903,0101000020E61000001AF8510DFBAD1E40B9FDF2C98A834640
