"","neigh","price"
"167","Firenze - 12 - Duomo, Oltrarno",370
"168","Firenze - 12 - Duomo, Oltrarno",NA
"169","Firenze - 12 - Duomo, Oltrarno",350
"170","Firenze - 12 - Duomo, Oltrarno",390
"171","Firenze - 12 - Duomo, Oltrarno",320
"172","Firenze - 12 - Duomo, Oltrarno",360
"173","Firenze - 12 - Duomo, Oltrarno",NA
"174","Firenze - 12 - Duomo, Oltrarno",880
"175","Firenze - 12 - Duomo, Oltrarno",480
"176","Firenze - 12 - Duomo, Oltrarno",320
"177","Firenze - 12 - Duomo, Oltrarno",NA
"178","Firenze - 12 - Duomo, Oltrarno",390
"179","Firenze - 12 - Duomo, Oltrarno",340
"180","Firenze - 12 - Duomo, Oltrarno",845
"181","Firenze - 12 - Duomo, Oltrarno",395
"182","Firenze - 13 - S.Gaggio",620
"183","Firenze - 13 - S.Gaggio",430
"184","Firenze - 13 - S.Gaggio",380
"185","Firenze - 13 - S.Gaggio",270
"186","Firenze - 13 - S.Gaggio",190
"187","Firenze - 13 - S.Gaggio",295
"188","Firenze - 13 - S.Gaggio",490
"189","Firenze - 13 - S.Gaggio",499
"190","Firenze - 13 - S.Gaggio",485
"191","Firenze - 13 - S.Gaggio",330
"192","Firenze - 13 - S.Gaggio",285
"193","Firenze - 13 - S.Gaggio",465
"194","Firenze - 13 - S.Gaggio",269
"195","Firenze - 13 - S.Gaggio",530
"196","Firenze - 13 - S.Gaggio",330
"197","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",430
"198","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",670
"199","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",295
"200","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",315
"201","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",360
"202","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",348
"203","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",395
"204","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",219
"205","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",370
"206","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",295
"207","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",295
"208","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",670
"209","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",665
"210","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",550
"211","Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",199
"212","Firenze - 15 - Campo di Marte",690
"213","Firenze - 15 - Campo di Marte",240
"214","Firenze - 15 - Campo di Marte",349
"215","Firenze - 15 - Campo di Marte",195
"216","Firenze - 15 - Campo di Marte",240
"217","Firenze - 15 - Campo di Marte",180
"218","Firenze - 15 - Campo di Marte",330
"219","Firenze - 15 - Campo di Marte",230
"220","Firenze - 15 - Campo di Marte",268
"221","Firenze - 15 - Campo di Marte",650
"222","Firenze - 15 - Campo di Marte",265
"223","Firenze - 15 - Campo di Marte",890
"224","Firenze - 15 - Campo di Marte",399
"225","Firenze - 15 - Campo di Marte",400
"226","Firenze - 15 - Campo di Marte",460
"227","Firenze - 16 - Le Cure",515
"228","Firenze - 16 - Le Cure",420
"229","Firenze - 16 - Le Cure",170
"230","Firenze - 16 - Le Cure",249
"231","Firenze - 16 - Le Cure",490
"232","Firenze - 16 - Le Cure",350
"233","Firenze - 16 - Le Cure",250
"234","Firenze - 16 - Le Cure",175
"235","Firenze - 16 - Le Cure",155
"236","Firenze - 16 - Le Cure",330
"237","Firenze - 16 - Le Cure",280
"238","Firenze - 16 - Le Cure",360
"239","Firenze - 16 - Le Cure",590
"240","Firenze - 16 - Le Cure",300
"241","Firenze - 16 - Le Cure",280
"242","Firenze - 17 - Collina Nord",NA
"243","Firenze - 17 - Collina Nord",940
"244","Firenze - 17 - Collina Nord",780
"245","Firenze - 17 - Collina Nord",485
"246","Firenze - 17 - Collina Nord",470
"247","Firenze - 17 - Collina Nord",600
"248","Firenze - 17 - Collina Nord",650
"249","Firenze - 17 - Collina Nord",398
"250","",365
"251","",330
"252","",NA
"253","",287
"254","",455
"255","",380
"256","",250
"257","Firenze - 18 - Settignano, Coverciano",275
"258","Firenze - 18 - Settignano, Coverciano",165
"259","Firenze - 18 - Settignano, Coverciano",258
"260","Firenze - 18 - Settignano, Coverciano",740
"261","Firenze - 18 - Settignano, Coverciano",65
"262","Firenze - 18 - Settignano, Coverciano",495
"263","Firenze - 18 - Settignano, Coverciano",160
"264","Firenze - 18 - Settignano, Coverciano",230
"265","Firenze - 18 - Settignano, Coverciano",250
"266","Firenze - 18 - Settignano, Coverciano",230
"267","Firenze - 18 - Settignano, Coverciano",210
"268","Firenze - 18 - Settignano, Coverciano",279
"269","Firenze - 18 - Settignano, Coverciano",450
"270","Firenze - 18 - Settignano, Coverciano",490
"271","Firenze - 18 - Settignano, Coverciano",250
"2100","Torino -  1 - Centro",360
"3100","Torino -  1 - Centro",820
"422","Torino -  1 - Centro",690
"510","Torino -  1 - Centro",420
"610","Torino -  1 - Centro",750
"710","Torino -  1 - Centro",170
"810","Torino -  1 - Centro",180
"910","Torino -  1 - Centro",270
"1010","Torino -  1 - Centro",460
"1110","Torino -  1 - Centro",470
"1210","Torino -  1 - Centro",350
"1310","Torino -  1 - Centro",360
"1410","Torino -  1 - Centro",850
"1510","Torino -  1 - Centro",230
"1610","Torino -  1 - Centro",870
"1710","Torino -  2 - Crocetta, San Secondo",115
