,city,Areas,neighborhood,estateprice
125,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",260
126,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",120
127,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",360
128,F,Gavinana-Galluzzo,"Firenze -  5 - Ugnano, Oltregreve, Mantignano",215
129,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",260
130,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",219
131,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",385
132,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",205
133,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",199
134,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",350
135,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",298
136,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",395
137,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",360
138,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",270
139,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",268
140,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",595
141,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",370
142,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",235
143,F,Gavinana-Galluzzo,"Firenze -  7 - Pisana, Soffiano",125
144,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",950
145,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",900
146,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",185
147,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",205
148,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",160
149,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",200
150,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",490
